ngay,nam,thang,gia_ruot_trang_vnd_kg,gia_ruot_do_vnd_kg,xu_huong
2015-07-31,2015,7,7800,12400,cao
2015-08-01,2015,8,8000,12000,cao
2015-08-02,2015,8,8200,12500,cao
2015-08-03,2015,8,7900,12600,cao
2015-08-04,2015,8,8000,12900,cao
2015-08-05,2015,8,7900,12800,cao
2015-08-06,2015,8,7900,13000,cao
2015-08-07,2015,8,8100,13100,cao
2015-08-08,2015,8,7800,13100,cao
2015-08-09,2015,8,7500,13300,cao
2015-08-10,2015,8,7300,13200,cao
2015-08-11,2015,8,7300,13200,cao
2015-08-12,2015,8,7100,13100,cao
2015-08-13,2015,8,7200,13100,cao
2015-08-14,2015,8,7400,13200,cao
2015-08-15,2015,8,7500,13400,cao
2015-08-16,2015,8,7500,13700,cao
2015-08-17,2015,8,7600,13600,cao
2015-08-18,2015,8,7600,13700,cao
2015-08-19,2015,8,7700,14000,cao
2015-08-20,2015,8,7600,14000,cao
2015-08-21,2015,8,7500,14200,cao
2015-08-22,2015,8,7500,14500,cao
2015-08-23,2015,8,7700,14300,cao
2015-08-24,2015,8,7800,14400,cao
2015-08-25,2015,8,8100,14100,cao
2015-08-26,2015,8,8200,14400,cao
2015-08-27,2015,8,8000,14600,cao
2015-08-28,2015,8,8000,14700,cao
2015-08-29,2015,8,8100,15000,cao
2015-08-30,2015,8,7800,15200,cao
2015-08-31,2015,8,7600,14800,cao
2015-09-01,2015,9,7500,14700,cao
2015-09-02,2015,9,7400,14700,cao
2015-09-03,2015,9,7100,14600,cao
2015-09-04,2015,9,7400,14500,cao
2015-09-05,2015,9,7300,14100,cao
2015-09-06,2015,9,7600,13700,cao
2015-09-07,2015,9,7900,14000,cao
2015-09-08,2015,9,7900,14400,cao
2015-09-09,2015,9,7700,14100,cao
2015-09-10,2015,9,7800,14200,cao
2015-09-11,2015,9,7900,13900,cao
2015-09-12,2015,9,7600,14100,cao
2015-09-13,2015,9,7800,14000,cao
2015-09-14,2015,9,7500,14200,cao
2015-09-15,2015,9,7400,14000,cao
2015-09-16,2015,9,7100,14200,cao
2015-09-17,2015,9,6900,13800,cao
2015-09-18,2015,9,7000,13800,cao
2015-09-19,2015,9,6800,13800,cao
2015-09-20,2015,9,7000,14100,cao
2015-09-21,2015,9,7300,13700,cao
2015-09-22,2015,9,7400,13700,cao
2015-09-23,2015,9,7100,13800,cao
2015-09-24,2015,9,7200,13800,cao
2015-09-25,2015,9,7200,13700,cao
2015-09-26,2015,9,7300,14000,cao
2015-09-27,2015,9,7500,13800,cao
2015-09-28,2015,9,7400,13700,cao
2015-09-29,2015,9,7300,13900,cao
2015-09-30,2015,9,7600,13500,cao
2015-10-01,2015,10,7300,13700,thap_vu
2015-10-02,2015,10,7400,13800,thap_vu
2015-10-03,2015,10,7300,14000,thap_vu
2015-10-04,2015,10,7500,14400,thap_vu
2015-10-05,2015,10,7600,14200,thap_vu
2015-10-06,2015,10,7300,14500,thap_vu
2015-10-07,2015,10,7400,14700,thap_vu
2015-10-08,2015,10,7600,14800,thap_vu
2015-10-09,2015,10,7900,15100,thap_vu
2015-10-10,2015,10,8000,15000,thap_vu
2015-10-11,2015,10,8200,15000,thap_vu
2015-10-12,2015,10,8300,14600,thap_vu
2015-10-13,2015,10,8200,14500,thap_vu
2015-10-14,2015,10,8400,14600,thap_vu
2015-10-15,2015,10,8200,14700,thap_vu
2015-10-16,2015,10,8300,14700,thap_vu
2015-10-17,2015,10,8400,14400,thap_vu
2015-10-18,2015,10,8500,14400,thap_vu
2015-10-19,2015,10,8400,14500,thap_vu
2015-10-20,2015,10,8200,14200,thap_vu
2015-10-21,2015,10,7900,14400,thap_vu
2015-10-22,2015,10,8100,14500,thap_vu
2015-10-23,2015,10,7800,14800,thap_vu
2015-10-24,2015,10,8100,15100,thap_vu
2015-10-25,2015,10,8200,15000,thap_vu
2015-10-26,2015,10,8100,15200,thap_vu
2015-10-27,2015,10,8300,14900,thap_vu
2015-10-28,2015,10,8400,14900,thap_vu
2015-10-29,2015,10,8300,14800,thap_vu
2015-10-30,2015,10,8000,14800,thap_vu
2015-10-31,2015,10,8200,15100,thap_vu
2015-11-01,2015,11,8000,14900,thap_vu
2015-11-02,2015,11,8100,14700,thap_vu
2015-11-03,2015,11,8300,14900,thap_vu
2015-11-04,2015,11,8300,15100,thap_vu
2015-11-05,2015,11,8400,14800,thap_vu
2015-11-06,2015,11,8300,14700,thap_vu
2015-11-07,2015,11,8200,14700,thap_vu
2015-11-08,2015,11,8000,15100,thap_vu
2015-11-09,2015,11,8000,15100,thap_vu
2015-11-10,2015,11,8300,15100,thap_vu
2015-11-11,2015,11,8200,15100,thap_vu
2015-11-12,2015,11,7900,15500,thap_vu
2015-11-13,2015,11,8000,15200,thap_vu
2015-11-14,2015,11,8000,15300,thap_vu
2015-11-15,2015,11,7900,15300,thap_vu
2015-11-16,2015,11,8100,15400,thap_vu
2015-11-17,2015,11,8200,15300,thap_vu
2015-11-18,2015,11,8500,15600,thap_vu
2015-11-19,2015,11,8200,15500,thap_vu
2015-11-20,2015,11,8200,15600,thap_vu
2015-11-21,2015,11,8100,15900,thap_vu
2015-11-22,2015,11,8400,16100,thap_vu
2015-11-23,2015,11,8500,16000,thap_vu
2015-11-24,2015,11,8300,15800,thap_vu
2015-11-25,2015,11,8100,15600,thap_vu
2015-11-26,2015,11,7900,15800,thap_vu
2015-11-27,2015,11,7700,15700,thap_vu
2015-11-28,2015,11,7600,15400,thap_vu
2015-11-29,2015,11,7800,15200,thap_vu
2015-11-30,2015,11,8000,15000,thap_vu
2015-12-01,2015,12,8200,15100,thap_vu
2015-12-02,2015,12,8400,15100,thap_vu
2015-12-03,2015,12,8700,15600,thap_vu
2015-12-04,2015,12,8700,15700,thap_vu
2015-12-05,2015,12,8900,15500,thap_vu
2015-12-06,2015,12,9100,15600,thap_vu
2015-12-07,2015,12,9300,15500,thap_vu
2015-12-08,2015,12,9600,15300,thap_vu
2015-12-09,2015,12,9400,15300,thap_vu
2015-12-10,2015,12,9200,15400,thap_vu
2015-12-11,2015,12,9100,15100,thap_vu
2015-12-12,2015,12,9200,15400,thap_vu
2015-12-13,2015,12,9400,15700,thap_vu
2015-12-14,2015,12,9400,15400,thap_vu
2015-12-15,2015,12,9600,15500,thap_vu
2015-12-16,2015,12,9400,15400,thap_vu
2015-12-17,2015,12,9300,15700,thap_vu
2015-12-18,2015,12,9600,15800,thap_vu
2015-12-19,2015,12,9400,15600,thap_vu
2015-12-20,2015,12,9300,15600,thap_vu
2015-12-21,2015,12,9600,15300,thap_vu
2015-12-22,2015,12,9900,15500,thap_vu
2015-12-23,2015,12,9900,15900,thap_vu
2015-12-24,2015,12,10100,15900,thap_vu
2015-12-25,2015,12,10200,16100,thap_vu
2015-12-26,2015,12,10300,16400,thap_vu
2015-12-27,2015,12,10200,16600,thap_vu
2015-12-28,2015,12,9900,16900,thap_vu
2015-12-29,2015,12,9600,16700,thap_vu
2015-12-30,2015,12,9700,17100,thap_vu
2015-12-31,2015,12,9800,16900,thap_vu
2016-01-01,2016,1,10000,16800,thap_vu
2016-01-02,2016,1,10200,17000,thap_vu
2016-01-03,2016,1,10500,17000,thap_vu
2016-01-04,2016,1,10400,17200,thap_vu
2016-01-05,2016,1,10500,17400,thap_vu
2016-01-06,2016,1,10200,17600,thap_vu
2016-01-07,2016,1,10100,17700,thap_vu
2016-01-08,2016,1,10300,17500,thap_vu
2016-01-09,2016,1,10500,17900,thap_vu
2016-01-10,2016,1,10400,18100,thap_vu
2016-01-11,2016,1,10200,18100,thap_vu
2016-01-12,2016,1,9900,18300,thap_vu
2016-01-13,2016,1,9900,18400,thap_vu
2016-01-14,2016,1,9800,18500,thap_vu
2016-01-15,2016,1,9700,18600,thap_vu
2016-01-16,2016,1,9800,18600,thap_vu
2016-01-17,2016,1,9700,18300,thap_vu
2016-01-18,2016,1,9500,18600,thap_vu
2016-01-19,2016,1,9700,18500,thap_vu
2016-01-20,2016,1,9400,18600,thap_vu
2016-01-21,2016,1,9300,18200,thap_vu
2016-01-22,2016,1,9500,18300,thap_vu
2016-01-23,2016,1,9700,18300,thap_vu
2016-01-24,2016,1,9500,18500,thap_vu
2016-01-25,2016,1,9400,18700,thap_vu
2016-01-26,2016,1,9100,18500,thap_vu
2016-01-27,2016,1,9100,18700,thap_vu
2016-01-28,2016,1,9400,18700,thap_vu
2016-01-29,2016,1,9300,19000,thap_vu
2016-01-30,2016,1,9100,19300,thap_vu
2016-01-31,2016,1,8900,18900,thap_vu
2016-02-01,2016,2,8700,19000,thap_vu
2016-02-02,2016,2,9000,19100,thap_vu
2016-02-03,2016,2,9000,18700,thap_vu
2016-02-04,2016,2,9000,18400,thap_vu
2016-02-05,2016,2,9000,18500,thap_vu
2016-02-06,2016,2,9100,18600,thap_vu
2016-02-07,2016,2,9100,18600,thap_vu
2016-02-08,2016,2,9100,18600,thap_vu
2016-02-09,2016,2,8900,18900,thap_vu
2016-02-10,2016,2,9000,18700,thap_vu
2016-02-11,2016,2,8900,18500,thap_vu
2016-02-12,2016,2,8800,18600,thap_vu
2016-02-13,2016,2,9100,18200,thap_vu
2016-02-14,2016,2,9000,18100,thap_vu
2016-02-15,2016,2,8700,17900,thap_vu
2016-02-16,2016,2,8500,18100,thap_vu
2016-02-17,2016,2,8600,17900,thap_vu
2016-02-18,2016,2,8600,17800,thap_vu
2016-02-19,2016,2,8800,17800,thap_vu
2016-02-20,2016,2,8700,17300,thap_vu
2016-02-21,2016,2,8800,17300,thap_vu
2016-02-22,2016,2,8800,17500,thap_vu
2016-02-23,2016,2,8700,17400,thap_vu
2016-02-24,2016,2,8700,17000,thap_vu
2016-02-25,2016,2,8600,17300,thap_vu
2016-02-26,2016,2,8800,17200,thap_vu
2016-02-27,2016,2,9100,17400,thap_vu
2016-02-28,2016,2,9100,16900,thap_vu
2016-02-29,2016,2,9000,16900,thap_vu
2016-03-01,2016,3,8900,16900,thap_vu
2016-03-02,2016,3,9000,16600,thap_vu
2016-03-03,2016,3,9000,16700,thap_vu
2016-03-04,2016,3,8900,16800,thap_vu
2016-03-05,2016,3,9000,16900,thap_vu
2016-03-06,2016,3,9000,17200,thap_vu
2016-03-07,2016,3,9000,17300,thap_vu
2016-03-08,2016,3,9000,17300,thap_vu
2016-03-09,2016,3,9100,16800,thap_vu
2016-03-10,2016,3,8700,16600,thap_vu
2016-03-11,2016,3,8700,16800,thap_vu
2016-03-12,2016,3,8800,16300,thap_vu
2016-03-13,2016,3,8600,16400,thap_vu
2016-03-14,2016,3,8400,16700,thap_vu
2016-03-15,2016,3,8600,16800,thap_vu
2016-03-16,2016,3,8600,16500,thap_vu
2016-03-17,2016,3,8400,16800,thap_vu
2016-03-18,2016,3,8200,16900,thap_vu
2016-03-19,2016,3,8400,17000,thap_vu
2016-03-20,2016,3,8500,16800,thap_vu
2016-03-21,2016,3,8800,17000,thap_vu
2016-03-22,2016,3,8900,16800,thap_vu
2016-03-23,2016,3,8800,16500,thap_vu
2016-03-24,2016,3,8900,16100,thap_vu
2016-03-25,2016,3,8700,16200,thap_vu
2016-03-26,2016,3,8400,16100,thap_vu
2016-03-27,2016,3,8600,15600,thap_vu
2016-03-28,2016,3,8500,15900,thap_vu
2016-03-29,2016,3,8300,16300,thap_vu
2016-03-30,2016,3,8500,15900,thap_vu
2016-03-31,2016,3,8600,16200,thap_vu
2016-04-01,2016,4,8800,15800,cao
2016-04-02,2016,4,8700,15700,cao
2016-04-03,2016,4,8900,15900,cao
2016-04-04,2016,4,8600,16200,cao
2016-04-05,2016,4,8500,16100,cao
2016-04-06,2016,4,8400,15700,cao
2016-04-07,2016,4,8400,15400,cao
2016-04-08,2016,4,8500,15400,cao
2016-04-09,2016,4,8600,15600,cao
2016-04-10,2016,4,8300,15600,cao
2016-04-11,2016,4,8200,15300,cao
2016-04-12,2016,4,8300,15600,cao
2016-04-13,2016,4,7900,15600,cao
2016-04-14,2016,4,7700,15400,cao
2016-04-15,2016,4,7900,15500,cao
2016-04-16,2016,4,8100,15200,cao
2016-04-17,2016,4,7800,14800,cao
2016-04-18,2016,4,7700,14800,cao
2016-04-19,2016,4,7800,14500,cao
2016-04-20,2016,4,8000,14100,cao
2016-04-21,2016,4,7700,14100,cao
2016-04-22,2016,4,7700,14100,cao
2016-04-23,2016,4,7700,13700,cao
2016-04-24,2016,4,7400,13700,cao
2016-04-25,2016,4,7400,13600,cao
2016-04-26,2016,4,7500,13800,cao
2016-04-27,2016,4,7700,13800,cao
2016-04-28,2016,4,7400,14100,cao
2016-04-29,2016,4,7600,13700,cao
2016-04-30,2016,4,7700,14100,cao
2016-05-01,2016,5,8000,13900,cao
2016-05-02,2016,5,7900,14000,cao
2016-05-03,2016,5,7900,13800,cao
2016-05-04,2016,5,7900,13900,cao
2016-05-05,2016,5,7500,13700,cao
2016-05-06,2016,5,7500,13900,cao
2016-05-07,2016,5,7400,14200,cao
2016-05-08,2016,5,7500,14000,cao
2016-05-09,2016,5,7200,13700,cao
2016-05-10,2016,5,7200,13800,cao
2016-05-11,2016,5,7100,13500,cao
2016-05-12,2016,5,6800,13500,cao
2016-05-13,2016,5,7000,13300,cao
2016-05-14,2016,5,6800,13100,cao
2016-05-15,2016,5,6600,12900,cao
2016-05-16,2016,5,6900,13200,cao
2016-05-17,2016,5,6800,13500,cao
2016-05-18,2016,5,7000,13300,cao
2016-05-19,2016,5,6900,13500,cao
2016-05-20,2016,5,6800,13600,cao
2016-05-21,2016,5,6800,13900,cao
2016-05-22,2016,5,6600,13600,cao
2016-05-23,2016,5,6800,13200,cao
2016-05-24,2016,5,6700,13300,cao
2016-05-25,2016,5,6500,13500,cao
2016-05-26,2016,5,6500,13700,cao
2016-05-27,2016,5,6200,14000,cao
2016-05-28,2016,5,6500,13900,cao
2016-05-29,2016,5,6300,14200,cao
2016-05-30,2016,5,6200,14100,cao
2016-05-31,2016,5,6200,14100,cao
2016-06-01,2016,6,6200,14200,cao
2016-06-02,2016,6,6100,14200,cao
2016-06-03,2016,6,6000,14400,cao
2016-06-04,2016,6,5800,14200,cao
2016-06-05,2016,6,5800,14200,cao
2016-06-06,2016,6,6000,14500,cao
2016-06-07,2016,6,5800,14600,cao
2016-06-08,2016,6,5800,14900,cao
2016-06-09,2016,6,5500,14400,cao
2016-06-10,2016,6,5600,14500,cao
2016-06-11,2016,6,5500,14600,cao
2016-06-12,2016,6,5400,14500,cao
2016-06-13,2016,6,5400,14400,cao
2016-06-14,2016,6,5100,14400,cao
2016-06-15,2016,6,4900,14500,cao
2016-06-16,2016,6,5200,14100,cao
2016-06-17,2016,6,5000,14000,cao
2016-06-18,2016,6,5000,13800,cao
2016-06-19,2016,6,5300,13500,cao
2016-06-20,2016,6,5400,13700,cao
2016-06-21,2016,6,5300,13700,cao
2016-06-22,2016,6,5200,13600,cao
2016-06-23,2016,6,5200,13800,cao
2016-06-24,2016,6,5000,13500,cao
2016-06-25,2016,6,5000,13100,cao
2016-06-26,2016,6,5300,13100,cao
2016-06-27,2016,6,5200,13400,cao
2016-06-28,2016,6,5300,13200,cao
2016-06-29,2016,6,5200,13400,cao
2016-06-30,2016,6,5100,13600,cao
2016-07-01,2016,7,5300,13500,cao
2016-07-02,2016,7,5200,13600,cao
2016-07-03,2016,7,5500,13500,cao
2016-07-04,2016,7,5400,13800,cao
2016-07-05,2016,7,5600,13600,cao
2016-07-06,2016,7,5400,13600,cao
2016-07-07,2016,7,5200,13200,cao
2016-07-08,2016,7,5300,13000,cao
2016-07-09,2016,7,5200,12800,cao
2016-07-10,2016,7,5000,12700,cao
2016-07-11,2016,7,4800,12500,cao
2016-07-12,2016,7,4700,12400,cao
2016-07-13,2016,7,4500,12600,cao
2016-07-14,2016,7,4500,12300,cao
2016-07-15,2016,7,4400,12200,cao
2016-07-16,2016,7,4400,12200,cao
2016-07-17,2016,7,4300,12200,cao
2016-07-18,2016,7,4100,12000,cao
2016-07-19,2016,7,4200,12200,cao
2016-07-20,2016,7,4500,12400,cao
2016-07-21,2016,7,4400,12700,cao
2016-07-22,2016,7,4700,13000,cao
2016-07-23,2016,7,4700,13000,cao
2016-07-24,2016,7,4900,12800,cao
2016-07-25,2016,7,5000,12800,cao
2016-07-26,2016,7,5300,12700,cao
2016-07-27,2016,7,5200,12800,cao
2016-07-28,2016,7,5200,12700,cao
2016-07-29,2016,7,5300,12800,cao
2016-07-30,2016,7,5600,12700,cao
2016-07-31,2016,7,5800,12800,cao
2016-08-01,2016,8,5700,13100,cao
2016-08-02,2016,8,5500,13200,cao
2016-08-03,2016,8,5600,12800,cao
2016-08-04,2016,8,5500,13000,cao
2016-08-05,2016,8,5300,12700,cao
2016-08-06,2016,8,5300,12700,cao
2016-08-07,2016,8,5500,12700,cao
2016-08-08,2016,8,5200,12400,cao
2016-08-09,2016,8,5000,12700,cao
2016-08-10,2016,8,5000,12400,cao
2016-08-11,2016,8,5000,12500,cao
2016-08-12,2016,8,5200,12200,cao
2016-08-13,2016,8,5400,11900,cao
2016-08-14,2016,8,5200,11600,cao
2016-08-15,2016,8,5100,11500,cao
2016-08-16,2016,8,5000,11100,cao
2016-08-17,2016,8,5100,11000,cao
2016-08-18,2016,8,5300,11200,cao
2016-08-19,2016,8,5500,11000,cao
2016-08-20,2016,8,5400,11300,cao
2016-08-21,2016,8,5500,11400,cao
2016-08-22,2016,8,5700,11400,cao
2016-08-23,2016,8,5600,11500,cao
2016-08-24,2016,8,5400,11400,cao
2016-08-25,2016,8,5400,11300,cao
2016-08-26,2016,8,5200,11400,cao
2016-08-27,2016,8,5500,11400,cao
2016-08-28,2016,8,5400,11400,cao
2016-08-29,2016,8,5200,11100,cao
2016-08-30,2016,8,5200,11100,cao
2016-08-31,2016,8,5400,11100,cao
2016-09-01,2016,9,5600,10900,cao
2016-09-02,2016,9,5400,10900,cao
2016-09-03,2016,9,5500,10600,cao
2016-09-04,2016,9,5700,10500,cao
2016-09-05,2016,9,5800,10600,cao
2016-09-06,2016,9,6100,10800,cao
2016-09-07,2016,9,6000,10700,cao
2016-09-08,2016,9,6300,11000,cao
2016-09-09,2016,9,6400,10900,cao
2016-09-10,2016,9,6200,10600,cao
2016-09-11,2016,9,5900,10500,cao
2016-09-12,2016,9,5800,10700,cao
2016-09-13,2016,9,6100,11200,cao
2016-09-14,2016,9,6300,11400,cao
